State,City,Place,Distance,Place_desc,Distance_km
kerala,munnar,kolukkumalai tea estate, 17 km  from city center ,"located 35 km off munnar is the kolukkumalai tea estate, perched at an altitude of 7000 ft. above sea level. this orthodox tea factory lays claim to being one of the highest in the world and is famous for its flavoursome tea. it takes about 52 minutes to reach here by jeep from munnar. at the tea factory here, tea leaves are still handpicked, rolled, cooled, fermented and manually packed for distribution.",17.0
kerala,munnar,chithirapuram, 6 km  from city center ,"situated 10 km off munnar, chithirapuram is a place famous for its rustic environ and old world charm. it also houses old playgrounds and courts, bungalows, sleepy little cottages and tea plantations adding to the charm of the village.",6.0
kerala,munnar,bird watching at salim ali bird sanctuary, 39 km  from city center ,"bird watching and spotting can become an addictive joy with the help of trained guides. the thattekkad sanctuary is home to some of the rare species of birds such as crimson-throated barbet, bee-eater, sunbird, shrike, black winged kite, and the night heron.",39.0
kerala,munnar,tea shopping, 35 out of 48  places to visit in Munnar ,"besides tasting delicious steaming tea, you can also buy premium quality tea leaves from munnar to take away with you as a souvenir. you can explore the local markets for dried tea leaves, aromatic oils, coffee variants, essential oils and other spices as well. the oils extracted from citriodora, eucalyptus and lemongrass are very useful to treat body and joint pains and are used in cooking and everyday products as well.",35.0
kerala,munnar,lockhart tea museum, 7 km  from city center ,"situated at a distance of 9 km from munnar on the thekkady road, lockhart tea museum is one of the newest editions to the tourist places in the city. opened on the 22nd of january, 2014 for the public, the museum is a part of the lockhart estate which is a major tea plantation estate. the museum offers a historical insight into the first ever tea plantations of munnar which date back to 1879.",7.0
kerala,munnar,nyayamakad waterfalls, 5 km  from city center ,"nyayamakad waterfalls is situated 10 kms from munnar between munnar and rajamala in kerala. falling down at a height of 1600 m, the waterfalls are a popular picnic and trekking spot. the perfect time to visit the waterfalls is during monsoons.",5.0
kerala,munnar,pallivasal tea garden, 4 km  from city center ,pallivasal tea garden is situated a few kms away on the outskirts of munnar in the village of the same name. the tea gardens are known for their haven like beauty and beautiful meadows of tea plantations.  from these gardens you can also see the sahya mountain range in the backdrop.,4.0
kerala,munnar,kuthumkal waterfalls, 17 km  from city center ,kuthumkal waterfalls is situated 24 kms from munnar in rajakkad. the waterfalls are a popular picnic spot in the region and boast of pleasant climate and mesmerizing water cascading down a lengthy height from a cliff.,17.0
kerala,munnar,wait and watch at the elephant arrival spot, 0 km  from city center ,"lying 18 km from munnar, you can board an elephant ride here to explore the wilderness of the region. this is a fun spot for both adults and children equally as you get to view the expanse of munnar hills and forest riding an elephant.",0.0
kerala,munnar,rock climbing and rappelling, 9 km  from city center ,rock climbing and rappelling are some of the popular activities offered in and around munnar.,9.0
kerala,munnar,high range club, 2 km  from city center ,"run by corporate planters, this high range club is associated with 41 other clubs in the country and also with 2 overseas clubs offering a variety of amusement activities.",2.0
kerala,munnar,mattupetti indo-swiss farm, 9 km  from city center ,"established in 1961, mattupetti indo-swiss farm is a place where tamil migrant labourers had once reared their cattle. today, this highly specialized dairy farm bestowed with cool climate and abundance of fodder is managed by the kerala livestock development and milk marketing board (kldb).",9.0
kerala,munnar,floriculture centre, 1 km  from city center ,"against the backdrop of tea plantations, you will find a well-manicured garden called floriculture centre. the park features a large variety of flowers and some herbal plants maintained by the kerala forest development corporation.",1.0
kerala,munnar,valara falls, 24 km  from city center ,"fed by the deviyar river, valara falls is located at 40 km from munnar. enveloped by neriamangalam town in the east and adimali in the west, the place offers some absolutely stunning sights.",24.0
kerala,munnar,csi christ church, 1 km  from city center ,"csi christ church is over a century old church famous for its religious & historic significance and its gothic style architecture. the church was built in the memory of the beloved wife of henry knight, ilianor knight, in the early 1900s. the site also served as a cemetery for the british planters. the structure is made of granite and is adorned with beautiful stained glass work and brass plaques.",1.0
kerala,munnar,elephant lake, 47 out of 48  places to visit in Munnar ,"situated amidst exuberant tea plantations, dense green woods, rolling hillocks and vibrant grasslands, elephant lake, also known as anayirangal or elephant arrival lake is one of the most idyllic and picturesque spots located at a distance of 22 kms from munnar. popular as a booming picnic destination, the scintillating lake offers panoramic views of the calm reservoir and foggy clouds, all in the backdrop of lush green tata tea estates.",47.0
kerala,munnar,anayirankal dam, 2 km  from city center ,the anayirankal dam is located right in between a verdant carpet of tea plantations and a thicket of evergreen forests. it is one of the largest earthen dams and was completed in the 1960s. it is also one of the earliest dams made with concrete.,2.0
kerala,varkala,water sports in varkala, 1 km  from city center ,varkala is a beautiful coastal town in thiruvananthapuram district. it lies in the southern part of kerala. it is the only place in kerala where the hills come close to the sea. the uniqueness of the place  is the merging of cliffs with the arabian sea. varkala beach is a popular beach where you can enjoy various water sports activities such as para-sailing and paragliding.,1.0
kerala,varkala,varkala beach, 2 km  from city center ,"set amid a beautiful setting, about 10 km away from the calm and quiet hamlet of varkala, varkala beach is a beautiful beach renowned for its solitude unlike the more commercial beaches of kerela.",2.0
kerala,varkala,edava beach, 5 km  from city center ,"untouched and unspoilt by tourist activities, the edava beaches are the virgin stretches circling a blue lagoon where sea and backwaters run parallel divided by a more-than-one km of straight road. there is also an estuary that connects the sea with the backwaters here.",5.0
kerala,varkala,mangrove forest kayaking, 13 km  from city center ,"mangrove forest in nedungolam, paravur, in the district of kollam, is located at a distance of 18kms from varkala. perfect for a half-day trip, one can go on 4km kayaking during morning or evening. sailing through these canals of nedungolam, especially the mangrove forest, is a must-try experience.",13.0
